ProductDescriptionID;Culture;Description
"38";"ar    ";"????? ???????? ??????? ???????? ?? ?????????? ??????? ??????? ?? ??? ??????? ?? ?????? ??????? ?????????? ??? ?????? ?? ????? ?????."
"90";"fr    ";"Carbone l�ger renforc� pour un confort de conduite in�gal�, sans ajout de poids."
"116";"en    ";"Designed for convenience. Fits in your pocket. Aluminum barrel. 160psi rated."
"17";"zh-cht";"ML ?????????? HL ?????????????????????????????????????????????"
"1";"ar    ";"??? ????? ?????? ??????? ?????? ????? ??? ?????."
"111";"ar    ";"????? ???? ???? ???? AWC ?????? 840 ?????? ?? ??????? ??? ????? ??????."
"48";"he    ";"???? ????????? ??? ?? ?? ??? ????? ?????? ??????? ??????."
"103";"ar    ";"????? ???? ???????."
"34";"he    ";"????? ??????? ?????. ????? ?????? ???? ?????? ????????. ???? ??? ?? ?????? ??????? ????? ?????? ?? ?? ????????. ???? ?????? ????????? ???? ??? ???? ?????? ??? ????? ????."
"81";"ar    ";"????? ?????? ?? ???? ?????? ??????? ?????? ????? ????? ???? ?????. ??? ???? ??????."
"96";"he    ";"??????? ??????? ?????????; ??? ???-????."
"88";"fr    ";"M�me dessin que les pneus plus chers, mais dot� d'une gomme moins ch�re."
"15";"he    ";"????? ?- ML ??? ????? ????????? ????? ???? ??????? ????? ????? ?????? ??? ?????? HL ????. ??? ????? ??????? ??????. ????? ??????."
"82";"ar    ";"???? ???? ????? ?? ??? ????."
"106";"zh-cht";"?????????????????"
"73";"en    ";"Replacement rear mountain wheel for entry-level rider."
"38";"he    ";"????? ?????? ?????? ????? ?????? ??????; ??? ?? ???? ????? ????? ??????? ??????."
"31";"fr    ";"V�lo d'adulte d'entr�e de gamme�; permet une conduite confortable en ville ou sur les chemins de campagne. Moyeux et rayons � blocage rapide."
"80";"zh-cht";"??????????"
"85";"fr    ";"Traction comparable aux mod�les haut de gamme, gomme de pneu moins ch�re."
"77";"th    ";"??????????????????????????????????????? ?????????????????"
"43";"he    ";"??????? ????????????? ??????? ??????? ????? ????."
"81";"he    ";"????? ?????? ?????? ???? ????? ?? ????. ??? ????."
"9";"en    ";"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
"100";"he    ";"???? ?????? ????? ?????."
"29";"ar    ";"???? ??? ??????? ???????? ?? ???? ?????? ????? ?????? ?????? ???? ???? ??????? ?? ?? ????? ???? ?????? ??????? ????????. ???? ????? ?????? ???? ?????? ?? ???????? ?????? ??????? ??? ????? ??????? ?? ??????? ?? ????????."
"93";"fr    ";"Tube classique tous usages."
"20";"th    ";"???????????????????????????  ???????????????????????????????????  ??????? HL ?????????????????? Mountain-100"
"6";"he    ";"????? ?????????? ???? ????????? ????? ???? ????? ???????? ?????? ?????; ?????? ????, ??? ?????? ??????? ????. ?????? ?????? ???? ?? ???? ????? ?????? ????????? ??????."
"23";"he    ";"??????? ??? ??? ?????, ?????? ?????? ???????? ????. ??????? ??? ?????. ????? ??????? ???? ??? ?? ????? ????."
"50";"ar    ";"????? ????? ????? ???? ????? ??? ???? ???? ???? ???????."
"79";"fr    ";"Cuir synth�tique. Confort am�lior� gr�ce au couvre-selle en gel."
"41";"he    ";"????? ?????, ????? ?? ??? ????? ????? ?? ??????? ??????? ??????????????. ????????? ?????? ?? ????? ????? ????? ????? ?? ????."
"29";"zh-cht";"?????????????????????????????????????????????????????????"
"74";"fr    ";"Roue de secours tout-terrain arri�re pour v�t�tiste amateur � confirm�."
"76";"he    ";"???? ????? ????? ????? ??????."
"54";"zh-cht";"???????????????????"
"103";"en    ";"Wide-link design."
"110";"zh-cht";"?????????"
"53";"en    ";"A stable pedal for all-day riding."
"60";"en    ";"Sealed cartridge keeps dirt out."
"111";"en    ";"AWC logo water bottle - holds 30 oz; leak-proof."
"93";"en    ";"Conventional all-purpose tube."
"97";"ar    ";"?????? ?? ????? ?????????? ????? ????."
"47";"fr    ";"Forme tr�s r�ussie destin�e � diminuer la fatigue des cyclistes occasionnels."
"6";"th    ";"????????????????????????????????????????????? ???????????????????????? ?????????????????????????????????????????  ????????????????????? ??????????????????????????????????????????????"
"89";"fr    ";"Caoutchouc plus dense que sur les autres mod�les."
"123";"zh-cht";"?????????????????"
"66";"en    ";"Comfortable, ergonomically shaped gel saddle."
"85";"th    ";"?????????????????????????????????? ?????????????????????????"
"5";"he    ";"?? ????? ?????? ????? ????? ???? ?- Bothell, ????? ????? ????? ????? ??????????? ??????? ?????? ????? ????? ?????? ?????. ?????? ?????????? ??????? ??????? ????, ?? ????? ????? ???? ???? ????? ?? ??????."
"97";"zh-cht";"??????????"
"106";"th    ";"??????????????????????????????? ???????????"
"16";"zh-cht";"ML ?????????? HL ?????????????????????????????????????????????"
"92";"en    ";"Self-sealing tube."
"98";"fr    ";"Syst�me de changement de vitesse tr�s performant."
"28";"en    ";"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads."
"88";"ar    ";"????? ??????? ?????? ???? ???? ???? ???????? ???????? ?????? ?????? ????? ???? ????? ???? ????? ????? ??? ?????."
"49";"th    ";"???????????????????????????????????????????????????"
"40";"en    ";"Same technology as all of our Road series bikes.  Perfect all-around bike for road or racing."
"2";"fr    ";"Style classique avec une visi�re relevable�; taille unique."
"120";"ar    ";"?????? ????? ????? ?????? ????? ????? ???? ?????? ????? ??????. ????? ????? ????? ?????? ???? ????? ???????."
"42";"zh-cht";"?????????????????"
"95";"fr    ";"Acier chrom�."
"22";"zh-cht";"?????????????????????????????????"
"62";"ar    ";"???? ????? ???? ???? ????? ??????? ??? ????? ???? ??? ???? ??????? ?????? ???????."
"84";"en    ";"Lightweight kevlar racing saddle. Leather."
"114";"th    ";"??????????????????? 8 ???? ??? ?????????????"
"11";"zh-cht";"?????? AWC ????????????"
"121";"en    ";"Clip-on fenders fit most mountain bikes."
"102";"th    ";"????????????????????????? ????????????????????? ??????????????????????????????"
"64";"zh-cht";"???????????"
"69";"th    ";"?????????????????????????????????????"
"21";"th    ";"????????????????????????????  ????????????????????????????? ????????????????????? ????????????????????????????????????????????? ????????????????????????"
"3";"he    ";"???? ?? ?? ????? ??????, ?????? ??????, ??? ????? ???? ??????. ???? ??-??? ????? ????? AWC."
"83";"fr    ";"Amortisseurs en caoutchouc pour absorber les bosses."
"55";"zh-cht";"???????????????????"
"68";"en    ";"Clipless pedals - aluminum."
"80";"ar    ";"????? ??????? ???????."
"15";"fr    ";"Le cadre ML est un cadre en aluminium trait� � chaud fabriqu� avec le m�me niveau de d�tail et de qualit� que notre cadre HL. Il offre des performances exceptionnelles. Version hommes."
"119";"he    ";"?????? ????? ????? ?????? ????; ??? ??????, ???? ??????. ????? ?? 1 ????."
"28";"th    ";"??????????????????????????????????????????????????? ????????????????????????  ???????????????????? ?????????????????????????????? ???????????????????????????????????????????????????????????"
"37";"zh-cht";"????????????????????????????????"
"53";"zh-cht";"?????????????"
"46";"fr    ";"Roue de secours tout-terrain hautes performances."
"101";"en    ";"Triple crankset; alumunim crank arm; flawless shifting."
"26";"he    ";"????? ??????? ????????? ????? ????? ??? ??????, ??? ?? ?????? ?????? ???? ?? ?????? ?????? ??????? ?????? ??????."
"104";"zh-cht";"????????????????????"
"8";"zh-cht";"??? ML ????????????????????"
"126";"en    ";"Replacement road rear wheel for entry-level cyclist."
"94";"th    ";"?????????????????????????"
"82";"zh-cht";"??????????"
"24";"he    ";"??, ??-???? ?????, ?? ????? ??????? ??????."
"33";"th    ";"????????????????? ??????????????? ??????????"
"69";"he    ";"???? ?????? ????????? ?? ????."
"100";"ar    ";"???? ????? ???? ?????."
"32";"fr    ";"Maillot manches courtes classique et anti-transpiration avec contr�le de l'humidit�, fermeture avant � glissi�re et 3�poches arri�re."
"14";"en    ";"The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version."
"49";"zh-cht";"??????????????????"
"73";"fr    ";"Roue de secours tout-terrain arri�re pour v�t�tiste occasionnel."
"84";"ar    ";"???? ???? ???? ????? ????? ?? ???? ??????. ???."
"68";"th    ";"??????????????? - ??????????"
"114";"zh-cht";"??????????????????"
"124";"ar    ";"???? ???????? ????? ??????? ?? ?????? ????? ???? ????? ?????? ????? ?? ?????? ?????? ??? ?????? ???????."
"91";"he    ";"???? ??????? ?????."
"69";"fr    ";"Fabrication en alliage d'aluminium l�ger."
"3";"ar    ";"???? ?? ???? ?? ??????? ?????? ????? ????? ?????? ????? ???? ????? ??????. ?????? ????? ?????? ???? AWC."
"86";"en    ";"Great traction, high-density rubber."
"18";"he    ";"????? ?? ????? ?????? ????????? ???? ??? ????? ????? ?? ?????? ?????."
"96";"en    ";"Aluminum alloy cups; large diameter spindle."
"10";"he    ";"????? ??? ???? ?????????? ???? ????? ????? ????? ????? ???? ??????? ???? ????. ?????? ?????? ???? ???? ????? ?????."
"36";"en    ";"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip."
"15";"zh-cht";"ML ???????????????????????? HL ?????????????????????"
"40";"ar    ";"???? ??? ??????? ???????? ?? ???? ?????? ????? ?????? ?????. ???? ????? ?????? ?????? ???????? ????? ??????? ??? ????? ??????? ?? ??????? ?? ????????."
"95";"th    ";"???????????"
"117";"fr    ";"Simple et l�ger. Rustines de secours rang�es dans la poign�e."
"47";"th    ";"??????????????????????????????????????????????????????????????"
"17";"ar    ";"????? ???? ML ??? ?????? ????? ???? ????? ?? ??????? ???? ????? ??? ???? ??? ???? ???? ????? ?????? ??? ?? ??????? ?? ??? ????? ?????????? ???? ?? ????? ???? HL - ???? ??? ?? ???? ???????? - ????. ?????? ???????."
"40";"th    ";"???????????????????????????? Road ???????  ??????????????????????????????? ???????????????????????????????????????"
"83";"en    ";"Rubber bumpers absorb bumps."
"96";"ar    ";"?????? ?? ????? ??????????? ??? ???? ????? ???? ?????."
"42";"fr    ";"Roue de secours tout-terrain pour v�t�tiste occasionnel."
"4";"en    ";"Full padding, improved finger flex, durable palm, adjustable closure."
"119";"en    ";"Washes off the toughest road grime; dissolves grease, environmentally safe. 1-liter bottle."
"31";"he    ";"????? ??????? ????????; ?????? ????? ???? ""???? ????"" ?? ????? ?????. ?????? ???????? ?????? ????."
"21";"en    ";"For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget."
"58";"en    ";"Designed for racers; high-end anatomically shaped bar from aluminum alloy."
"52";"zh-cht";"?????????????"
"91";"ar    ";"???? ???? ???????."
"12";"zh-cht";"?? AWC ??????????????????????????"
"118";"fr    ";"Porte-v�lo s�curis� pour 4�v�los�; fabrication en acier�; adaptable sur attache-remorque."
"122";"fr    ";"Support de type home trainer id�al pour vous entra�ner en int�rieur (pour tous les mod�les de v�lo). Fixations rapides, fabrication en acier."
"59";"he    ";"???? ????? ????? ????? ????? ????? ??????."
"98";"th    ";"???????????????????????????????????????"
"114";"he    ";"???? 8 ????? ?????? ?????, ??? ????? ??????."
"78";"zh-cht";"????????????"
"54";"th    ";"??????????????????????????? ????????????????????????"
"113";"ar    ";"???? ???? ?? ?????????? ??? ?? ????? ?? ?????? ?????? ??????? ?? ??????? ??? ????? ?? ??????? ??? ???????? ???????."
"9";"he    ";"????? ?- LL ????? ????? ????? ????? ??? ???, ????? ????? ????? ????? ?? ????? ????????? ????? ????."
"64";"en    ";"Stainless steel; designed to shed mud easily."
"14";"ar    ";"?? ???? ML ?? ???? ????? ?? ?????????? ?????? ??????? ????? ???? ?????? ????? ???? HL ????? ???. ??? ???? ????? ??????. ?????? ???????."
"23";"th    ";"?????????????????????????? ?????????????????????  ????????????? ????????????????????????? ????????????????????????"
"52";"ar    ";"???? ????? ????? ????? ??????? ??? ????? ??????? ???? ???????."
"116";"he    ";"????? ?????? ??????. ????? ????. ???? ?????????. 160 psi ??????."
"126";"he    ";"???? ????? ???? ?????? ???? ????? ??????."
"24";"en    ";"Thin, lightweight and durable with cuffs that stay up."
"41";"en    ";"Cross-train, race, or just socialize on a sleek, aerodynamic bike.  Advanced seat technology provides comfort all day."
"33";"en    ";"Universal fit, well-vented, lightweight , snap-on visor."
"71";"th    ";"?????????????????????????????? ??????????????????????????????"
"93";"th    ";"??????????????????????"
"97";"he    ";"??????? ??????? ????????? ???? ????."
"100";"zh-cht";"???????"
"48";"zh-cht";"?????????????????"
"34";"en    ";"Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight."
"57";"en    ";"Anatomically shaped aluminum tube bar will suit all riders."
"5";"th    ";"???????????????????????????????????????? Bothell ???????????????????????????????????????????????????????????????????  ?????????????????????????????? ?????????????????????????????????????"
"63";"en    ";"Lightweight, durable, clipless pedal with adjustable tension."
"8";"th    ";"????????????????????????????????????????????????????????????????????? ML"
"22";"fr    ";"Ce v�lo offre un excellent rapport qualit�-prix. Vif et facile � man�uvrer, il se conduit en toute tranquillit� sur les chemins et les sentiers."
"37";"fr    ";"Cuissards r�sistants � l'usure pour utilisation intensive, doubl�s � l'int�rieur en Spandex, sans couture, peau de chamois anti-bact�rie pour un meilleur confort."
"34";"fr    ";"Voyagez confortablement et avec �l�gance. Confort et s�curit� maximum. Large �ventail de vitesses pour gravir toutes les c�tes. Sa fabrication en alliage d'aluminium haute technologie est synonyme de robustesse, sans ajout de poids."
"6";"zh-cht";"??????????????????????????????????????????????????????????????"
"123";"fr    ";"Roue de secours tout-terrain pour v�t�tiste occasionnel."
"125";"ar    ";"???? ???????? ????? ??????? ?? ?????? ????? ??????."
"24";"ar    ";"????? ?????? ????? ?????? ?????? ??? ????? ??? ?????."
"69";"zh-cht";"????????"
"50";"fr    ";"Alliage robuste avec moyeu � blocage rapide."
"47";"ar    ";"??? ???? ???? ???? ??????? ??? ?????? ?????????."
"67";"fr    ";"Cadre profil� pour am�liorer le confort."
"20";"fr    ";"Conduite sur terrains tr�s accident�s. Id�al pour tous les niveaux de comp�tition. Utilise le m�me cadre HL que le Montain-100."
"62";"fr    ";"Plate-forme allong�e permettant de rouler avec tous types de chaussures�; id�al pour la randonn�e."
"26";"fr    ";"Cadre en alliage d'aluminium qui offre une conduite l�g�re et rapide, sur pistes ou sur routes de campagne."
"71";"fr    ";"Bouchon de remplissage�; �triers en aluminium poli."
"100";"fr    ";"Manivelle haute r�sistance."
"112";"ar    ";"???? ???? ?? ?????????? ????? ??????? ?????? ????? ??????? ??? ??????? ??????."
"31";"ar    ";"???? ????? ?????? ????????? ?? ????????? ??? ???? ????? ????? ????? ??? ????? ?????? ?? ?? ???? ???????. ????? ????? ???????? ????????? ????????? ????? ???????."
"45";"ar    ";"???? ???????? ????? ??????? ?? ?????? ????? ???? ????? ?????? ????? ?? ?????? ?????? ??? ?????? ???????."
"94";"ar    ";"?????? ?????? ???????."
"88";"zh-cht";"??????????????????????????????"
"6";"en    ";"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance."
"31";"en    ";"Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims."
"12";"he    ";"????? ???? ?????? ?? AWC ?? ?????? ?????, ???? ????, ????? ???? ?? ?????? ???????."
"43";"zh-cht";"??????????????????????"
"83";"he    ";"????? ???? ??????? ?????."
"59";"zh-cht";"?????????????????????"
"11";"he    ";"???? ??????, ????? ????, ???????, ???? microfiber ?????? AWC."
"3";"zh-cht";"????????????????????????AWC???????"
"119";"zh-cht";"??????????????????????????"
"25";"he    ";"??????? ??? ?????? ?? ????? ????????. ????????, ?????? ??? ?? ???? ??????? ?? Adventure Works Cycles (????? ?????), ?? ????? ????????? ??? ????? ??????? ???? ?????? ?????? ????? ??????."
"2";"zh-cht";"?????????????"
"55";"ar    ";"???? ????? ???? ???? ????? ????? ?????? ?????????."
"19";"he    ";"????? ???? ???????? ?????? ???????. ???????? ?????? ??????? ??????? HL Frame (????? (HL, ????? ???? ??? ?????? ?????? ???? ??????? ??? ???? ????."
"17";"he    ";"????? ?- ML, ?????? ?????? ????????? ??? ??? ?????? ????? ????? HL ???? ?????? ????, ???????? ???? ?????? ??? ???? ?????? ????? ?????? ????? ????? ????????. ????? ?????."
"81";"fr    ";"Conception ergonomique pour randonn�e longue distance confortable. Cuir de qualit�."
"63";"he    ";"????? ????? ????? ????? ?? ???? ???????."
"30";"he    ";"??????? ??????? ????? ????? ?????? ????? ???? ??????? ???? ??? ?????? ????. ????????? ?????? ?????? ????? ?????? ?????? ???? ??? ????????."
"11";"en    ";"Unisex long-sleeve AWC logo microfiber cycling jersey"
"87";"th    ";"????????????????? ??????????????????????"
"19";"th    ";"?????????????????????????????????? ??????????????????????????????????????????????? ???? ???? HL ???????????? ?????????????????????????????????????????? ??????????????????????????????"
"7";"he    ";"????? ?- HL ?????????? ?????? ?????? ?? ????? ??? ??? ?????; ??? ????? ??????? ???????? ????? ?? ????? ????????. ????? ??????."
"111";"he    ";"????? ??? ?????? AWC ? ???? 850 ???; ???? ???? ?????."
"90";"th    ";"?????????????????????? ??????????????????????????? ?????????????????????????????"
"87";"ar    ";"??? ?? ?????? ????? ???? ???? ?????."
"98";"ar    ";"???? ???? ?? ??? ???????."
"39";"th    ";"????????????????????????????????  ?????????????"
"118";"ar    ";"???? 4 ?????? ???? ???? ?? ???? ???????? ?????? ???? ????? ?????? 2 ????."
"9";"ar    ";"???? ?????? LL Frame ????? ???? ??????? ?? ????? ??????? ????? ??????? ??????? ?? ???? ?? ?????????? ??? ????? ??????? ?????????."
"27";"he    ";"????? ?????, ????? ?? ??? ????? ????? ?? ??????? ???? ????? ????? ???????????? ?????. ????????? ?????? ?? ????? ????? ????? ????? ?? ????."
"44";"fr    ";"Jantes a�rodynamiques pour conduite en souplesse."
"89";"ar    ";"???? ???? ????? ?? ???????? ??????."
"21";"he    ";"??????? ??????? ?????? ??? ?? ???. ??????? ?????? ?????? ????? ????? ??? ??? ???? ???? ???? ?? ?????? ???? ????? ? ??? ????? ???? ??????."
"40";"fr    ";"�quip� de la m�me technologie que tous nos v�los de route. Id�al pour la promenade ou la course sur route."
"90";"zh-cht";"??????????????????????????"
"109";"he    ";"??? ????-????? ????? ?????? ?????."
"62";"th    ";"?????????????? ????????????????????????????????????? ???????????????????????????????"
"112";"en    ";"Tough aluminum cage holds bottle securly on tough terrain."
"70";"th    ";"????????????????? ????????? ??????????????"
"121";"he    ";"?????? ??????? ???????? ???? ??????? ?????? ?????."
"26";"th    ";"?????????????????????? ?????????????????? ?????? ????????????????????????????? ???????????????????????????????????"
"28";"ar    ";"???? ????? ???? ?????? ?? ???????? ??? ????? ?????? ???? ?????? ???????? ??? ????? ?????? ???????. ???? ?? ??????? ?????????? ??????? ??????? ??????? ?? ?????????? ??? ???? ????? ????? ?????? ???????? ???? ????? ???????? ????? ????????."
"44";"zh-cht";"????????????????????"
"104";"th    ";"?????????????????? ????????????????????????????????????"
"1";"zh-cht";"?????????????"
"79";"ar    ";"??? ?????. ????? ??? ???? ????????? ?????? ???? ?? ??????."
"95";"ar    ";"??????? ?????????"
"50";"zh-cht";"?????????????"
"118";"en    ";"Carries 4 bikes securely; steel construction, fits 2"" receiver hitch."
"90";"ar    ";"????? ???? ???? ????? ?????? ?????? ?????? ?? ???? ????? ??????."
"111";"fr    ";"Bidon d'eau avec le logo de l'�quipe AWC�- capacit� 0,75�litre, enti�rement �tanche."
"127";"th    ";"????????????????????????????"
"86";"he    ";"????? ???? ?????, ???? ??????? ?????."
"124";"th    ";"??????????????????????????????????????????????????????????"
"93";"ar    ";"?????? ??????? ????? ???? ???????."
"72";"zh-cht";"?????????? 10 ???????"
"127";"he    ";"????? ???-??????."
"55";"th    ";"???????????? ??????????????????????????????"
"94";"zh-cht";"??????"
"38";"zh-cht";"??????????????????????????????"
"79";"he    ";"??? ???????. ??????? ??'? ?????? ??????."
"61";"ar    ";"???? ??? ?????? ??? ?????? ??????? ?????? ???????? ????? ???? ??????? ?????? 1 ???? ??? ???? ????? ????? ????? ????? ?????? ??????? ???? ????."
"96";"th    ";"????????????????????? ???????????????"
"54";"fr    ";"Barres d'appui en alliage d'aluminium solide pour descente."
"78";"he    ";"???? ????? ??? ?? ????? ??? ????? ?????."
"56";"ar    ";"??? ???? ???? ?????? ???? ??? ???? ?????? ?? ??????."
"42";"he    ";"???? ????? ?????? ????? ????? ??????."
"65";"en    ";"New design relieves pressure for long rides."
